"Building","Date.of.Session","Name.of.Session","X..of.Hours","Possible.Hours","staff_id"
"SLMS",2015-08-26,"SLMS Skyward Class (J. Garrett)",4,8,"a908308b950da41c3451750cbd265b626519793740579c7b9e4fe90ce6a1c496"
"Hedden",2016-02-17,"Google Sheets Training",1.5,2,"6714eea5a84ba33cc57c730b2e2f675a495e7f7a40a985d0fddc530dfaf56cf6"
"Hedden",2016-03-10,"Google Classroom",1.5,2,"6714eea5a84ba33cc57c730b2e2f675a495e7f7a40a985d0fddc530dfaf56cf6"
"Discovery",2015-11-17,"ChromeBook Training",1,1,"ec2bd9ffb7b761520cfe22a2b5066f3162532e1a26969187777aedf60e04816e"
"Hedden",2015-08-17,"Google Email Training",2,4,"a7cf6e32cee176b62620280b89756ccf1041969681c5a2ee7ef3b38ba5d3c1ba"
"Hedden",2015-11-23,"ChromeBook Training",1,1,"a7cf6e32cee176b62620280b89756ccf1041969681c5a2ee7ef3b38ba5d3c1ba"
"Hedden",2016-02-17,"Google Sheets Training",1.5,2,"a7cf6e32cee176b62620280b89756ccf1041969681c5a2ee7ef3b38ba5d3c1ba"
"Hedden",2016-03-10,"Google Classroom",2,2,"a7cf6e32cee176b62620280b89756ccf1041969681c5a2ee7ef3b38ba5d3c1ba"
"Hedden",2016-03-10,"Google Classroom",2,2,"f83634bc61a41e1bb02146397371aa55c0c4f0dded71c43242edb1f447a983ab"
"Discovery",2016-03-22,"Open Lab Training",1.5,3,"29c968344d05d6a87732d3d4c95a571f45765a6dc9fa2b0193ec1c8e97031e3d"
"Discovery",2015-09-01,"Tech/day open lab",1.5,10,"a68e5d3454ef67895dc164e4147222a7ee08feb82c5cfe7bd685079b14cbaa78"
"Discovery",2015-09-15,"Tech/day open lab",1,3,"a68e5d3454ef67895dc164e4147222a7ee08feb82c5cfe7bd685079b14cbaa78"
"Discovery",2015-09-22,"LAP/Title Elem Skyward",0.4,1,"a68e5d3454ef67895dc164e4147222a7ee08feb82c5cfe7bd685079b14cbaa78"
"Discovery",2016-02-18,"Google Sheets Training",2,2,"a68e5d3454ef67895dc164e4147222a7ee08feb82c5cfe7bd685079b14cbaa78"
"Discovery",2016-03-01,"Google Sheets Training",1.5,2,"a68e5d3454ef67895dc164e4147222a7ee08feb82c5cfe7bd685079b14cbaa78"
"DIscovery",2016-03-31,"Google Docs/Website Training",1,2,"a68e5d3454ef67895dc164e4147222a7ee08feb82c5cfe7bd685079b14cbaa78"
"SLMS",2015-08-26,"SLMS Skyward Class (J. Garrett)",4,8,"9d7b6ce91ff1d6f9b17cde2299f423f2152522a03447fbe59ec87bc396875564"
"CJH",2015-09-24,"Google Drive Intro",2,2,"1cb868f16e41e46a94ef465f73305bd1f6fefa63eb80f1705ac565d3be6c6b4f"
"CJH",2015-11-12,"Google Drive Training",1,1,"1cb868f16e41e46a94ef465f73305bd1f6fefa63eb80f1705ac565d3be6c6b4f"
"CJH",2016-02-18,"Google Sheets Training",2,2,"1cb868f16e41e46a94ef465f73305bd1f6fefa63eb80f1705ac565d3be6c6b4f"
"CJH",2016-03-15,"Google Classroom",2,2,"1cb868f16e41e46a94ef465f73305bd1f6fefa63eb80f1705ac565d3be6c6b4f"
"SLMS",2015-08-26,"SLMS Skyward Class (J. Garrett)",4,8,"fea2a4fc2d025564df6c8952e082e8d0b8e3201d2d4b67ba192c5c11dceb1f0f"
"CJH",2015-08-17,"Google Email Training",2,4,"6f09c2bdf876b30cf4303e410f334676fe096fdc23b6b5342c51fb51f3491f93"
"CJH",2015-09-01,"Tech/day open lab",2,10,"6f09c2bdf876b30cf4303e410f334676fe096fdc23b6b5342c51fb51f3491f93"
"CJH",2015-10-01,"Google Site Training",2,2,"6f09c2bdf876b30cf4303e410f334676fe096fdc23b6b5342c51fb51f3491f93"
"CJH",2016-02-18,"Google Sheets Training",1,2,"6f09c2bdf876b30cf4303e410f334676fe096fdc23b6b5342c51fb51f3491f93"
"Endeavour",2015-09-22,"LAP/Title Elem Skyward",0.4,1,"ccd183fa8c1f0857c971f6e66aef1951d6f4ff85d0f89fb4d45f4fef602fcb0b"
"ESC",2015-10-01,"Google Site Training",2,2,"bfe7956b6eb40229d85f13acc1b0d07c7fe3add3f182322e112263573cd5a2b0"
